category,item,energy_kcal,protein_g,totalfat_g,saturatedfat_g,cholesterol_mg,carbohydrates_g,dietaryfibres_g,sodium_mg,egg,fish,milk,peanuts,soyabeans,treenuts,wheat,gluten,msg,sulphite
desserts,Mudpie McFlurry®,493,9,17,10,5,76,1,314,False,False,True,False,True,False,True,True,False,False
desserts,Strawberry Shortcake McFlurry®,440,7,13,6,5,74,1,230,False,False,True,False,True,False,True,True,False,True
desserts,Chocolate Shake ,387,10,10,5,7,65,1,207,False,False,True,False,False,False,False,False,False,True
desserts,Strawberry Shake ,381,9,9,5,7,65,0,134,False,False,True,False,False,False,False,False,False,True
desserts,Vanilla Shake ,378,9,10,5,7,63,0,132,False,False,True,False,False,False,False,False,False,True
family,Cheeseburger Happy Meal®,386,25,14,7,1,56,3,820,False,False,True,False,True,False,True,True,False,False
family,Chicken McNuggets® (4pc) Happy Meal®,204,10,12,1,33,13,1,378,False,False,False,False,True,False,True,True,False,False
family,Family Meal (Cheeseburger),0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
family,Family Meal (McNuggets®),0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
family,Hotcakes (2pc) Happy Meal®,430,6,15,5,14,69,2,501,True,False,True,False,True,False,True,True,False,False
family,Scrambled Egg Burger Junior Happy Meal®,299,18,11,4,388,32,2,476,True,False,False,False,True,False,True,True,False,False
family,Breakfast Family Meal,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
mains,Chicken McCrispy® (2pc),689,39,41,8,135,42,3,1895,True,False,False,False,True,False,True,True,False,False
sharing,Chicken McCrispy® (6pc),2068,117,122,25,406,125,10,5685,True,False,False,False,True,False,True,True,False,False
sharing,Happy Sharing Box® A ,1730,101,109,20,480,85,6,3698,True,False,False,False,True,False,True,True,False,False
sharing,Happy Sharing Box® B ,865,50,54,10,240,43,3,1849,True,False,False,False,True,False,True,True,False,False
mains,Grilled Chicken McWrap®,361,23,18,5,83,29,3,992,True,False,False,False,True,False,True,True,False,False
mains,Grilled Chicken Salad,173,20,7,2,72,7,1,533,True,False,False,False,True,False,True,True,False,False
sides,Garden Side Salad ,21,1,0,0,0,4,1,10,False,False,False,False,False,False,False,False,False,False
mains,Chicken McNuggets® (6pc),273,14,16,2,44,17,1,506,False,False,False,False,True,False,True,True,False,False
mains,Chicken McNuggets® (9pc),409,21,24,3,66,26,2,759,False,False,False,False,True,False,True,True,False,False
sides,Chicken McNuggets® (20pc),910,46,54,7,147,57,4,1686,False,False,False,False,True,False,True,True,False,False
sides,McWings® (2pc),302,17,20,4,87,12,2,682,True,False,False,False,True,False,True,True,False,False
mains,McWings® (4pc),603,35,41,8,175,25,3,1363,True,False,False,False,True,False,True,True,False,False
sides,Apple Slices ,30,0,0,0,1,7,1,17,False,False,False,False,False,False,False,False,False,False
sides,French Fries (Small),315,4,17,5,1,37,4,193,False,False,False,False,True,False,False,False,False,False
sides,French Fries (Medium),384,5,20,6,1,46,5,236,False,False,False,False,True,False,False,False,False,False
sides,French Fries (Large),512,6,27,8,1,61,6,314,False,False,False,False,True,False,False,False,False,False
sides,Corn Cup (3oz),66,2,1,0,0,12,2,67,False,False,True,False,False,False,False,False,False,False
sides,Corn Cup (4.5oz),100,4,1,0,0,18,3,101,False,False,True,False,False,False,False,False,False,False
sides,Hash Brown,149,1,8,1,0,17,1,351,False,False,False,False,True,False,False,False,False,False
